nro_sicop,nro_acto,fecha_adj_firme,cedula_institucion,fecha_publicacion,fecha_inicio_recepcion,fecha_cierre_recepcion,fecha_apertura,nro_procedimiento,tipo_procedimiento,modalidad_procedimiento,descripcion,total_procedimiento,duracion
20231002798,927535,2023-10-27 11:10:58,4000004017,2023-10-17 15:00:53.000,2023-10-18 10:00:00.000,2023-10-23 10:00:00,2023-10-23 10:00:00.000,2023PX-000291-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Redacción efectiva de documentos corporativos.,963900.0,4
20231004335,934279,2023-11-06 13:14:45,4000004017,2023-10-26 19:04:20.000,2023-10-27 10:00:00.000,2023-10-31 10:00:00,2023-10-31 10:00:00.000,2023PX-000307-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación CR Planificación estratégica de Auditoría de TI: Validando la gobernanza.,183982.5,6
20231107865,942757,2023-11-20 13:23:42,4000004017,2023-11-14 16:11:44.000,2023-11-15 10:00:00.000,2023-11-17 10:00:00,2023-11-17 10:00:00.000,2023PX-000327-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Auditor interno en sistemas de gestión de la calidad según las normas INTE/ISO 9001:2015 e INTE/ISO 19011:2018,758880.0,3
20230902399,910320,2023-09-27 16:19:56,4000004017,2023-09-19 18:00:23.000,2023-09-20 10:00:00.000,2023-09-21 10:00:00,2023-09-21 10:00:00.000,2023PX-000256-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Finanzas sostenibles Green Finance.,440640.0,6
20231001630,920740,2023-10-17 15:22:50,4000004017,2023-10-10 17:28:55.000,2023-10-11 10:00:00.000,2023-10-12 10:00:00,2023-10-12 10:00:00.000,2023PX-000285-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación IV Congreso de Servicio al Cliente.,55500.0,5
20231001409,921366,2023-10-17 15:30:05,4000004017,2023-10-10 16:51:52.000,2023-10-11 10:00:00.000,2023-10-12 10:00:00,2023-10-12 10:00:00.000,2023PX-000282-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Protocolo de Gobierno.,849150.0,5
20231000226,916026,2023-10-12 09:06:02,4000004017,2023-10-03 16:36:46.000,2023-10-04 10:00:00.000,2023-10-06 10:00:00,2023-10-06 10:00:00.000,2023PX-000273-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Especialista en Riesgos.,555000.0,5
20231001410,922036,2023-10-17 16:51:44,4000004017,2023-10-10 17:00:15.000,2023-10-10 17:00:00.000,2023-10-13 10:00:00,2023-10-13 10:00:00.000,2023PX-000283-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Curso preparatorio para la Certificación Financial Risk Manager Nivel I.,747423.0,4
20231105945,950985,2023-12-07 08:13:45,4000004017,2023-11-03 15:30:27.000,2023-11-03 15:35:00.000,2023-11-10 10:00:00,2023-11-10 10:00:00.000,2023LD-000106-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,ADQUISICIÓN DE EQUIPO Y LICENCIAS PARA EL SISTEMA INTEGRADO  DE SEGURIDAD ELECTRÓNICA (SISE),54023795.58,26
20231005220,933911,2023-11-06 13:16:29,4000004017,2023-11-01 15:30:00.000,2023-11-02 10:00:00.000,2023-11-03 10:00:00,2023-11-03 10:00:00.000,2023PX-000312-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación WEBINAR Organizaciones Ágiles.,509490.0,3
20231106339,938197,2023-11-14 10:02:36,4000004017,2023-11-06 18:57:10.000,2023-11-07 10:00:00.000,2023-11-08 10:00:00,2023-11-08 10:00:00.000,2023PX-000317-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Módulo 5 Programa de Liderazgo para la cultura de la Innovación.,1585080.0,6
20231000886,944067,2023-11-22 11:01:10,4000004017,2023-10-11 08:50:44.000,2023-10-11 09:00:00.000,2023-10-18 10:00:00,2023-10-18 10:00:00.000,2023LE-000020-0004900001,LICITACIÓN MENOR,Según demanda,SERVICIO POR DEMANDA DE INUTILIZACIÓN Y DISPOSICIÓN FINAL RESIDUOS METÁLICOS POR KILOGRAMO POR UN AÑO PRORROGAS ANUALES HASTA POR CUATRO AÑOS,153.0,35
20240318803,983798,2024-04-05 09:26:07,4000004017,2024-04-01 09:06:13.000,2024-04-02 06:00:00.000,2024-04-03 12:00:00,2024-04-03 12:00:00.000,2024PX-000086-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Contrato de Obra Pública en el marco LGAP.,413100.0,1
20240626313,1011371,2024-06-17 08:55:56,4000004017,2024-06-04 15:53:55.000,2024-06-05 06:00:00.000,2024-06-07 23:59:00,2024-06-10 09:00:00.000,2024PX-000157-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Implicaciones e interpretación - Seguridad y resiliencia – Sistemas de gestión de continuidad del negocio norma INTE/ISO 22301:2020,158100.0,9
20240523863,1007260,2024-06-18 10:00:52,4000004017,2024-05-16 08:21:00.000,2024-05-16 08:30:00.000,2024-05-28 10:00:00,2024-05-28 10:00:00.000,2024LD-000040-0004900001,LICITACIÓN REDUCIDA,Servicios,"Renovación licencia, soporte, mantenimiento y almacenamiento bibliográfico de la base de datos del Centro de Información del BCCR en Koha",8457046.0,21
20240523233,998953,2024-05-15 14:21:38,4000004017,2024-05-09 09:20:12.000,2024-05-10 06:00:00.000,2024-05-13 23:59:00,2024-05-14 09:00:00.000,2024PX-000132-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Módulo 2 del Programa Liderazgo Persuasivo para Alta Gerencia.,551250.0,1
20240525619,1009519,2024-06-11 14:24:13,4000004017,2024-05-29 14:47:54.000,2024-05-30 06:00:00.000,2024-06-03 23:59:00,2024-06-04 09:00:00.000,2024PX-000151-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Fundamentos de ChatGPT.,2048288.0,7
20240525835,1012436,2024-06-17 08:54:32,4000004017,2024-05-30 15:47:56.000,2024-05-31 06:00:00.000,2024-06-06 23:59:00,2024-06-07 09:00:00.000,2024PX-000155-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación ChatGPT y su Aplicación en la Práctica Jurídica.,1437492.0,10
20240525204,1009179,2024-06-13 08:41:19,4000004017,2024-05-27 09:06:27.000,2024-05-27 09:15:00.000,2024-06-03 10:00:00,2024-06-03 10:00:00.000,2024LD-000046-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,"Contratación de salón en un hotel que incluya alimentación, equipos audivisuales,logisticas para llevar a cabo las Reuniones de Comité de Capacitación.",7000000.0,9
20240629557,1026642,2024-07-09 17:07:54,4000004017,2024-06-28 14:02:07.000,2024-07-01 06:00:00.000,2024-07-03 23:59:00,2024-07-04 09:00:00.000,2024PX-000182-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Módulo 3 del Programa Liderazgo Persuasivo para Alta Gerencia.,561750.0,5
20240626825,1014001,2024-06-19 14:30:27,4000004017,2024-06-10 10:32:22.000,2024-06-11 06:00:00.000,2024-06-12 23:59:00,2024-06-13 09:00:00.000,2024PX-000161-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Auditoría basada en Riesgos.,123930.0,6
20240525571,1017172,2024-07-05 07:54:07,4000004017,2024-05-29 16:07:16.000,2024-05-29 16:30:00.000,2024-06-05 13:00:00,2024-06-05 13:00:00.000,2024LD-000048-0004900001,LICITACIÓN REDUCIDA,Según demanda,CONTRATACIÓN DE AL MENOS DOS HASTA UN MÁXIMO DE TRES ABOGADOS DENTRO DE UN SOLO CONCURSO PARA EL SUMINISTRO DE HORAS POR SERVICIOS PROFESIONALES EN DERECHO PARA LA SUPEN SEGUN DEMANDA,307642.5,29
20240627160,1013156,2024-06-17 09:07:31,4000004017,2024-06-10 18:04:13.000,2024-06-11 06:00:00.000,2024-06-12 23:59:00,2024-06-13 09:00:00.000,2024PX-000163-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Especialidad en Inteligencia de Negocios con Power BI.,347400.0,4
20231106815,942533,2023-11-17 12:04:39,4000004017,2023-11-09 10:03:54.000,2023-11-09 10:10:00.000,2023-11-14 10:00:00,2023-11-14 10:00:00.000,2023LD-000113-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,Adquisición de una licencia de Minitab Statistical Software para el Centro de Control de Numerario,1604971.37,3
20231105558,943447,2023-11-21 08:30:29,4000004017,2023-11-03 08:32:45.000,2023-11-03 08:40:00.000,2023-11-10 10:00:00,2023-11-10 10:00:00.000,2023LD-000103-0004900001,LICITACIÓN REDUCIDA,Servicios,"SERVICIO DE IMPLEMENTACIÓN, HOSPEDAJE Y DE ASISTENCIA TÉCNICA DE UN SITIO WEB",15000000.0,10
20231108105,943926,2023-11-22 13:26:35,4000004017,2023-11-15 13:31:08.000,2023-11-16 10:00:00.000,2023-11-17 10:00:00,2023-11-17 10:00:00.000,2023PX-000328-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Auditoría del programa de ciberseguridad: Basada en NIST y la ISO 27032,127372.5,5
20231105913,944150,2023-11-27 14:28:52,4000004017,2023-11-03 15:13:18.000,2023-11-03 15:15:00.000,2023-11-10 10:00:00,2023-11-10 10:00:00.000,2023LD-000104-0004900001,LICITACIÓN REDUCIDA,Servicios,"CONTRATACIÓN DE UNA EMPRESA ESPECIALISTA EN EL CAMPO DE LA AUDITORÍA EXTERNA DE CALIDAD REFERIDA A LA NORMA ISO 9001:2015,",7500000.0,17
20230903789,915168,2023-10-11 12:08:46,4000004017,2023-09-28 16:06:27.000,2023-09-28 16:15:00.000,2023-10-05 10:00:00,2023-10-05 10:00:00.000,2023LD-000084-0004900001,LICITACIÓN REDUCIDA,Servicios,Servicio de análisis de brechas y asesoría para la implementación demejoras con la finalidad de realizar la autoevaluación del,11500000.0,6
20230902046,909840,2023-09-26 09:50:52,4000004017,2023-09-18 12:01:34.000,2023-09-18 12:05:00.000,2023-09-25 10:00:00,2023-09-25 10:00:00.000,2023LD-000080-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,Adquisición de una cámara fotográfica para el laboratorio del Departamento de Emisión y Valores.,1000000.0,0
20230901382,913447,2023-10-05 09:40:57,4000004017,2023-09-12 11:41:19.000,2023-09-12 11:45:00.000,2023-09-20 10:00:00,2023-09-20 10:00:00.000,2023LD-000079-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,Adquisición de candados y cerraduras metálicas de alta seguridad para las bóvedas,2070000.0,14
20230601833,868593,2023-06-22 18:48:22,4000004017,2023-06-15 09:02:28.000,2023-06-16 10:00:00.000,2023-06-20 10:00:00,2023-06-20 10:00:00.000,2023PX-000153-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Programa especialización de negocios con Power BI,1139475.5399999998,2
20230602843,869642,2023-06-26 14:41:13,4000004017,2023-06-22 14:22:32.000,2023-06-22 14:30:00.000,2023-06-23 15:00:00,2023-06-23 15:00:00.000,2023PX-000168-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción a 3 funcionarios de la Sugese IX Congreso de Recursos Humanos,162000.0,2
20230603268,873873,2023-07-06 14:13:03,4000004017,2023-06-27 15:38:05.000,2023-06-27 15:45:00.000,2023-07-04 10:00:00,2023-07-04 10:00:00.000,2023PX-000174-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Cantidad definida,Proceso para la inscripción de 2 funcionarios de la DivisiónTransformación y Estrategia en la actividad de capacitación denominada,1173000.0,2
20231002455,928890,2023-10-27 18:01:50,4000004017,2023-10-16 19:50:40.000,2023-10-17 10:00:00.000,2023-10-25 10:00:00,2023-10-25 10:00:00.000,2023LD-000091-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,Adquisición de Software de gestión de dispositivos de impresión y digitalización de documentos,17866482.0,2
20231106343,938393,2023-11-14 10:07:03,4000004017,2023-11-06 19:04:40.000,2023-11-07 10:00:00.000,2023-11-09 10:00:00,2023-11-09 10:00:00.000,2023PX-000320-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Mejores Prácticas para la Optimización de la CX.,4522815.05,5
20231107852,947431,2023-11-28 13:37:14,4000004017,2023-11-14 14:28:00.000,2023-11-15 06:00:00.000,2023-11-23 14:00:00,2023-11-23 14:00:00.000,2023PX-000325-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Risk Management Professional Certificate - Online.,3659309.5,4
20231003554,941727,2023-11-21 13:59:06,4000004017,2023-11-07 08:57:28.000,2023-11-07 09:05:00.000,2023-11-14 10:00:00,2023-11-14 10:00:00.000,2023LD-000108-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,Adquisición de pizarras de vidrio y de acrílico para el Departamento deEmisión y Valores. Número de necesidad 0060011160.,1598960.15,7
20230902364,908942,2023-09-22 14:10:48,4000004017,2023-09-19 11:55:41.000,2023-09-20 06:00:00.000,2023-09-20 23:59:00,2023-09-20 23:59:00.000,2023PX-000250-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,"Inscripción en actividad de capacitación Soporte cardiaco, Primeros auxilios Principios y Control de Incendios.",437400.0,1
20231109701,951404,2023-12-07 08:15:06,4000004017,2023-11-27 08:57:10.000,2023-11-27 09:00:00.000,2023-12-05 10:00:00,2023-12-05 10:00:00.000,2023LD-000121-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,Compra de zapatos institucionales para uso del chofer de la SUPEN.,70000.0,1
20231106342,938243,2023-11-14 10:06:04,4000004017,2023-11-06 19:01:47.000,2023-11-07 06:00:00.000,2023-11-08 23:59:00,2023-11-08 23:59:00.000,2023PX-000319-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Diseño Efectivo de Informes de Auditoría.,271410.66,5
20240316751,986908,2024-04-17 17:10:22,4000004017,2024-03-08 11:46:37.000,2024-03-08 13:00:00.000,2024-04-02 10:00:00,2024-04-02 10:00:00.000,2024LY-000001-0004900001,LICITACIÓN MAYOR,Servicios,Suscripción Acuerdo Empresarial Alteryx (ELA) para modelado de datos y modelos predictivos del BCCR,353136861.0,15
20240316427,977239,2024-03-12 16:08:49,4000004017,2024-03-01 16:44:23.000,2024-03-04 06:00:00.000,2024-03-05 12:00:00,2024-03-05 12:00:00.000,2024PX-000060-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Excel Básico e Intermedio.,1101600.0,7
20240318391,982482,2024-04-03 10:17:43,4000004017,2024-03-20 18:08:32.000,2024-03-21 10:00:00.000,2024-03-26 10:00:00,2024-03-26 10:00:00.000,2024PX-000080-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción a la actividad de capacitación: Programa de Especialización Tributaria,225000.0,8
20240215450,982575,2024-04-11 08:31:59,4000004017,2024-02-27 16:01:00.000,2024-02-27 16:05:00.000,2024-03-15 10:00:00,2024-03-15 10:00:00.000,2024LE-000002-0004900001,LICITACIÓN MENOR,Cantidad definida,Se requiere recopilar información detallada sobre los costos que asumen las empresas y los consumidores al utilizar distintos instrumentos de pago.,175000000.0,26
20240419645,986337,2024-04-17 17:23:17,4000004017,2024-04-08 10:38:31.000,2024-04-09 06:00:00.000,2024-04-10 12:00:00,2024-04-10 12:00:00.000,2024PX-000101-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,"Inscripción en actividad de capacitación Grafoscopía, Billetes Nacionales y Extranjeros.",351900.0,7
20240419316,984784,2024-04-10 14:17:32,4000004017,2024-04-03 18:32:43.000,2024-04-04 06:00:00.000,2024-04-08 12:00:00,2024-04-08 12:00:00.000,2024PX-000096-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación X Congreso de Recursos Humanos.,204000.0,2
20240419649,987251,2024-04-17 17:20:45,4000004017,2024-04-05 15:27:06.000,2024-04-08 06:00:00.000,2024-04-10 12:00:00,2024-04-10 12:00:00.000,2024PX-000099-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Programa de Liderazgo Módulo 2 Influencia.,13458615.0,7
20240316854,978105,2024-03-12 16:32:49,4000004017,2024-03-06 20:43:39.000,2024-03-07 06:00:00.000,2024-03-08 12:00:00,2024-03-08 12:00:00.000,2024PX-000068-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Manejo de Datos Financieros en el Sector Público.,106080.0,4
20240317688,982480,2024-04-03 09:19:52,4000004017,2024-03-15 11:05:02.000,2024-03-15 11:10:00.000,2024-03-22 10:00:00,2024-03-22 10:00:00.000,2024LD-000020-0004900001,LICITACIÓN REDUCIDA,Servicios,"Suscripción impresa con el periódico La Extra, para el año 2024, conprórroga para los siguientes 3 años.",109199.81,11
20240317530,982451,2024-04-03 09:25:03,4000004017,2024-03-13 15:42:27.000,2024-03-14 06:00:00.000,2024-03-19 12:00:00,2024-03-19 12:00:00.000,2024PX-000073-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Certificación en Gestión de Riesgos.,4534402.05,14
20240418991,984693,2024-04-10 16:29:22,4000004017,2024-04-02 13:43:09.000,2024-04-03 06:00:00.000,2024-04-05 12:00:00,2024-04-05 12:00:00.000,2024PX-000093-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Código de seguridad humana.,536267.41,5
20240524573,1004993,2024-05-30 09:36:58,4000004017,2024-05-21 08:51:01.000,2024-05-22 06:00:00.000,2024-05-24 23:59:00,2024-05-27 09:00:00.000,2024PX-000140-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Heartsaver RCP y DEA Salvacorazones.,717200.0,5
20240421824,993931,2024-05-02 16:30:59,4000004017,2024-04-25 15:25:00.000,2024-04-26 06:00:00.000,2024-04-29 23:59:00,2024-04-30 09:00:00.000,2024PX-000120-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación La nueva visión de la gestión de riesgo y el control interno.,315000.0,2
20240627269,1015962,2024-06-19 16:57:08,4000004017,2024-06-11 16:40:41.000,2024-06-12 06:00:00.000,2024-06-14 23:59:00,2024-06-17 09:00:00.000,2024PX-000164-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Herramientas para perfeccionar la mejora del sistema de gestión.,2144340.0,4
20240627750,1017503,2024-06-25 09:31:22,4000004017,2024-06-14 14:50:14.000,2024-06-17 06:00:00.000,2024-06-19 23:59:00,2024-06-20 09:00:00.000,2024PX-000169-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Curso SCRUM BOOTCAMP 4 en 1.,273000.0,5
20240628029,1017512,2024-06-25 09:32:47,4000004017,2024-06-17 17:32:49.000,2024-06-18 06:00:00.000,2024-06-19 23:59:00,2024-06-20 09:00:00.000,2024PX-000172-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación taller Actuarial Python aplicado en Modelos.,1237617.56,5
20240214487,972463,2024-02-22 14:07:30,4000004017,2024-02-09 17:03:01.000,2024-02-12 10:00:00.000,2024-02-15 10:00:00,2024-02-15 10:00:00.000,2024PX-000037-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación  Alineando la Gestión de Riesgos de Seguridad de la Información y la Ciberseguridad,122400.0,7
20240316748,978030,2024-03-12 16:31:44,4000004017,2024-03-06 20:38:41.000,2024-03-07 06:00:00.000,2024-03-08 12:00:00,2024-03-08 12:00:00.000,2024PX-000067-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Programa de Comunicación para Profesionales en Finanzas.,4576719.6,4
20240215622,975594,2024-03-05 11:53:53,4000004017,2024-02-25 20:39:24.000,2024-02-26 10:00:00.000,2024-02-28 10:00:00,2024-02-28 10:00:00.000,2024PX-000052-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Seminario de CRIPTOACTIVOS: BITCOIN y el nuevo ETF,6058800.0,6
20240216016,976301,2024-03-11 13:28:13,4000004017,2024-02-27 22:19:54.000,2024-02-28 10:00:00.000,2024-03-01 10:00:00,2024-03-01 10:00:00.000,2024PX-000056-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Perspectiva Económicas Política.,4207500.0,10
20240215623,974694,2024-03-04 10:21:28,4000004017,2024-02-25 20:41:53.000,2024-02-26 10:00:00.000,2024-02-28 10:00:00,2024-02-28 10:00:00.000,2024PX-000053-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Técnico en riesgos asociados a la operación (PRO) - Generación 24,771120.0,5
20240214641,973311,2024-02-26 09:59:31,4000004017,2024-02-12 16:33:51.000,2024-02-13 10:00:00.000,2024-02-19 10:00:00,2024-02-19 10:00:00.000,2024PX-000040-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación Diplomado Quant Finance.,5586581.82,6
20240318384,982280,2024-04-03 10:26:40,4000004017,2024-03-20 18:00:39.000,2024-03-21 10:00:00.000,2024-03-26 10:00:00,2024-03-26 10:00:00.000,2024PX-000079-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación: Auditoria de Servidores SQL Server,95000.0,8
20230502797,858786,2023-05-31 17:14:16,4000004017,2023-05-25 16:54:27.000,2023-05-26 10:00:00.000,2023-05-29 10:00:00,2023-05-29 10:00:00.000,2023PX-000127-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación especialidad en Inteligencia de Negocios con Power BI.,4557902.399999999,2
20230500369,853676,2023-05-23 12:25:40,4000004017,2023-05-04 10:40:12.000,2023-05-04 10:45:00.000,2023-05-11 10:00:00,2023-05-11 10:00:00.000,2023LD-000033-0004900001,LICITACIÓN REDUCIDA,Cantidad definida,CONTRATACIÓN DE UNA EMPRESA QUE BRINDE EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO MENOR FLOTILLA DE VEHÍCULOS DEL BANCO CENTRAL DE COSTA RICA,3000000.0,12
20230600257,862623,2023-06-09 14:00:05,4000004017,2023-06-02 17:33:34.000,2023-06-05 10:00:00.000,2023-06-06 10:00:00,2023-06-06 10:00:00.000,2023PX-000141-0004900001,PROCEDIMIENTO POR EXCEPCIÓN,Servicios,Inscripción en actividad de capacitación curso intermedio del sistema de comando de incidentes.,180700.0,3
